,Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,Genre,Language,Runtime,Color Palette,GenreNames,LanguageName,Palette Cluster,PCA1,PCA2
70,2024-12-28,Monster,2023.0,https://boxd.it/8ci5DP,4.5,,"seb, parents",2024-12-27,"[53, 27]",xx,84,"[137, 113, 67, 53, 49, 46, 43, 22, 21]","['Thriller', 'Horror']",No Language,4,-113.57070809448231,8.444234769364058
71,2024-12-28,Paris Is Burning,1990.0,https://boxd.it/8cn3H1,5.0,,"seb, alone</3",2024-12-27,[99],en,78,"[228, 224, 217, 179, 178, 173, 93, 85, 81]",['Documentary'],English,2,200.98422986014407,-8.454386623634388
72,2024-12-29,Twilight,2008.0,https://boxd.it/8de5w1,5.0,,james,2024-12-28,"[14, 18, 10749]",en,122,"[103, 82, 73, 15, 5, 5, 1, 0, 0]","['Fantasy', 'Drama', 'Romance']",English,4,-203.01522955456835,-21.244059131949026
73,2024-12-30,Climax,2018.0,https://boxd.it/8eiZvl,4.0,,"seb, alone</3",2024-12-29,"[27, 18]",fr,97,"[156, 79, 53, 89, 26, 23, 21, 11, 10]","['Horror', 'Drama']",French,4,-142.20141420149352,48.61570838215737
74,2025-01-01,The Twilight Saga: New Moon,2009.0,https://boxd.it/8g0gIr,2.5,Yes,"seb, james",2024-12-31,"[12, 14, 18, 10749]",en,131,"[111, 85, 57, 53, 36, 19, 23, 12, 5]","['Adventure', 'Fantasy', 'Drama', 'Romance']",English,4,-162.27633610980618,12.65147265340569
75,2025-01-02,Cuckoo,2024.0,https://boxd.it/8h3leh,3.5,,"seb, alone</3",2025-01-01,"[27, 9648, 53]",en,103,"[188, 176, 110, 107, 81, 49, 42, 26, 16]","['Horror', 'Mystery', 'Thriller']",English,6,-26.630399928104225,32.30291843152722
76,2025-01-03,Oldboy,2003.0,https://boxd.it/8hSkNx,4.0,,"seb, alone</3",2025-01-02,"[18, 53, 9648, 28]",ko,120,"[119, 118, 128, 54, 36, 47, 25, 9, 22]","['Drama', 'Thriller', 'Mystery', 'Action']",Korean,3,-108.04272786065593,-33.52104853154148
77,2025-01-04,The Zone of Interest,2023.0,https://boxd.it/8j9XLN,,,"seb, parents",2025-01-03,"[18, 36, 10752]",en,105,"[69, 95, 71, 1, 1, 1, 0, 0, 0]","['Drama', 'History', 'War']",English,4,-217.71640057451788,-39.68535705919312
78,2025-01-04,They Cloned Tyrone,2023.0,https://boxd.it/8jcVwn,,,"seb, alone</3",2025-01-04,"[35, 878, 9648]",en,122,"[229, 163, 9, 181, 109, 26, 54, 24, 7]","['Comedy', 'Science Fiction', 'Mystery']",English,5,-23.72570315449991,154.30750509523423
79,2025-01-05,The Bling Ring,2013.0,https://boxd.it/8kbUUZ,2.5,,"seb, alone</3",2025-01-04,"[18, 80]",en,90,"[252, 252, 37, 254, 254, 1, 129, 123, 64]","['Drama', 'Crime']",English,5,156.64352070552923,210.51112420272702
80,2025-01-06,Gummo,1997.0,https://boxd.it/8lmPQf,4.5,,"seb, alone</3",2025-01-05,"[18, 35]",en,89,"[203, 216, 99, 163, 188, 29, 124, 109, 43]","['Drama', 'Comedy']",English,5,91.26027465948653,103.52477772738243
81,2025-01-09,Raw,2016.0,https://boxd.it/8o62Wj,4.0,,"seb, alone</3",2025-01-09,"[27, 18]",fr,99,"[246, 197, 160, 236, 128, 117, 175, 53, 72]","['Horror', 'Drama']",French,2,161.30406103091093,112.05562526110805
82,2025-01-10,The Watermelon Woman,1996.0,https://boxd.it/8pa3pR,,,"seb, alone</3",2025-01-10,"[18, 35, 10749]",en,85,"[171, 90, 136, 233, 26, 117, 77, 14, 65]","['Drama', 'Comedy', 'Romance']",English,1,13.013231402603765,71.81337468492762
83,2025-01-10,The Twilight Saga: Eclipse,2010.0,https://boxd.it/8pabP9,2.0,Yes,"seb, james",2025-01-10,"[12, 14, 18, 10749]",en,124,"[110, 111, 112, 23, 43, 53, 10, 19, 26]","['Adventure', 'Fantasy', 'Drama', 'Romance']",English,3,-124.65076676693442,-54.95798716223007
84,2025-01-12,Antichrist,2009.0,https://boxd.it/8rp2it,,,"seb, alone</3",2025-01-11,"[18, 27, 53]",en,104,"[72, 33, 39, 24, 0, 6, 0, 0, 0]","['Drama', 'Horror', 'Thriller']",English,4,-239.8066741050376,-7.590173836009063
85,2025-01-13,Infinity Pool,2023.0,https://boxd.it/8rUpWN,3.0,,"seb, alone</3",2025-01-12,"[27, 878]",en,118,"[92, 33, 31, 13, 0, 1, 0, 0, 0]","['Horror', 'Science Fiction']",English,4,-242.97849123244686,-1.5628258467927907
86,2025-01-13,The Twilight Saga: Breaking Dawn – Part 1,2011.0,https://boxd.it/8sv7VL,3.0,Yes,"seb, james",2025-01-12,"[12, 14, 10749]",en,117,"[157, 108, 77, 34, 22, 34, 22, 8, 19]","['Adventure', 'Fantasy', 'Romance']",English,4,-138.97875500442086,-2.5997994367724537
87,2025-01-14,The Twilight Saga: Breaking Dawn – Part 2,2012.0,https://boxd.it/8tfCBz,3.5,Yes,"seb, james",2025-01-13,"[12, 14, 18, 10749]",en,115,"[114, 99, 90, 19, 17, 22, 3, 2, 4]","['Adventure', 'Fantasy', 'Drama', 'Romance']",English,4,-171.9400896840059,-31.043828805533906
88,2025-01-14,Drop Dead Gorgeous,1999.0,https://boxd.it/8tkd0D,4.0,,"seb, alone</3",2025-01-13,[35],en,98,"[254, 254, 254, 228, 221, 222, 70, 45, 46]",['Comedy'],English,2,269.2977344497578,-11.024409827011658
89,2025-01-15,Bird,2024.0,https://boxd.it/8u22lX,4.5,,"seb, parents",2025-01-14,"[18, 14]",en,119,"[164, 212, 203, 57, 136, 122, 19, 78, 67]","['Drama', 'Fantasy']",English,0,65.96336363941157,-97.98293749885099
90,2025-01-15,Suspiria,1977.0,https://boxd.it/8u49ur,4.5,,"seb, alone</3",2025-01-14,[27],it,99,"[146, 101, 106, 51, 0, 6, 0, 0, 0]",['Horror'],Italian,4,-161.58618136247875,-3.120315842444729
91,2025-01-16,The Killing of a Sacred Deer,2017.0,https://boxd.it/8uEE7F,3.5,,"seb, alone</3",2025-01-15,"[18, 53, 9648]",en,121,"[197, 206, 203, 197, 204, 201, 78, 69, 62]","['Drama', 'Thriller', 'Mystery']",English,2,200.5558981485375,-13.027974165278842
92,2025-01-18,Babygirl,2024.0,https://boxd.it/8waKJ9,3.0,,"seb, in theaters, james, james's family",2025-01-17,"[18, 10749]",en,115,"[107, 154, 144, 65, 99, 85, 48, 62, 53]","['Drama', 'Romance']",English,3,-20.77743789938677,-53.651362679333005
93,2025-01-18,Crash,1996.0,https://boxd.it/8weFMv,4.0,,"seb, alone</3",2025-01-18,"[53, 18]",en,100,"[113, 120, 154, 69, 35, 82, 49, 17, 40]","['Thriller', 'Drama']",English,3,-68.84419088425318,-47.78834281388309
94,2025-01-18,Untapped Perfection,2024.0,https://boxd.it/8wfs0Z,5.0,,,2025-01-18,"[18, 35]",en,27,"[181, 205, 182, 114, 99, 101, 36, 19, 19]","['Drama', 'Comedy']",English,6,37.368621418867804,-25.223566876559556
95,2025-01-22,Mulholland Drive,2001.0,https://boxd.it/8zfPBB,5.0,,"scropps, alone</3",2025-01-21,"[53, 18, 9648]",en,147,"[122, 117, 102, 10, 0, 1, 0, 0, 0]","['Thriller', 'Drama', 'Mystery']",English,4,-181.24574966498307,-32.761301159903724
96,2025-01-25,Eraserhead,1977.0,https://boxd.it/8BxVQh,4.0,,"scropps, tay",2025-01-24,"[878, 27]",en,89,"[225, 225, 223, 105, 105, 104, 9, 8, 8]","['Science Fiction', 'Horror']",English,6,60.90011266478581,-45.21209329739952
97,2025-01-26,Sonic the Hedgehog 3,2024.0,https://boxd.it/8CkS9n,3.0,,"scropps, in theaters, tay, ali",2025-01-25,"[28, 878, 35, 10751]",en,110,"[218, 204, 195, 129, 116, 140, 50, 32, 58]","['Action', 'Science Fiction', 'Comedy', 'Family']",English,0,96.45378893581483,-27.123938939980253
98,2025-01-29,Secretary,2002.0,https://boxd.it/8EP0Dj,4.0,,"scropps, alone</3",2025-01-28,"[10749, 18, 35]",en,111,"[255, 255, 255, 255, 255, 252, 120, 78, 59]","['Romance', 'Drama', 'Comedy']",English,2,330.1479665397622,7.730570354269435
99,2025-01-30,King Knight,2021.0,https://boxd.it/8FAqV3,3.0,,"scropps, audrey",2025-01-30,[35],en,78,"[227, 227, 230, 105, 107, 141, 39, 13, 72]",['Comedy'],English,0,103.08634240379115,-63.19634729078191
