,Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date,Runtime,Color Palette,GenreNames,LanguageName,Month
84,2025-01-12,Antichrist,2009.0,https://boxd.it/8rp2it,,"seb, alone</3",2025-01-11,104,"[72, 33, 39, 24, 0, 6, 0, 0, 0]","['Drama', 'Horror', 'Thriller']",English,2025-01
85,2025-01-13,Infinity Pool,2023.0,https://boxd.it/8rUpWN,3.0,"seb, alone</3",2025-01-12,118,"[92, 33, 31, 13, 0, 1, 0, 0, 0]","['Horror', 'Science Fiction']",English,2025-01
86,2025-01-13,The Twilight Saga: Breaking Dawn – Part 1,2011.0,https://boxd.it/8sv7VL,3.0,"seb, james",2025-01-12,117,"[157, 108, 77, 34, 22, 34, 22, 8, 19]","['Adventure', 'Fantasy', 'Romance']",English,2025-01
87,2025-01-14,The Twilight Saga: Breaking Dawn – Part 2,2012.0,https://boxd.it/8tfCBz,3.5,"seb, james",2025-01-13,115,"[114, 99, 90, 19, 17, 22, 3, 2, 4]","['Adventure', 'Fantasy', 'Drama', 'Romance']",English,2025-01
88,2025-01-14,Drop Dead Gorgeous,1999.0,https://boxd.it/8tkd0D,4.0,"seb, alone</3",2025-01-13,98,"[254, 254, 254, 228, 221, 222, 70, 45, 46]",['Comedy'],English,2025-01
89,2025-01-15,Bird,2024.0,https://boxd.it/8u22lX,4.5,"seb, parents",2025-01-14,119,"[164, 212, 203, 57, 136, 122, 19, 78, 67]","['Drama', 'Fantasy']",English,2025-01
90,2025-01-15,Suspiria,1977.0,https://boxd.it/8u49ur,4.5,"seb, alone</3",2025-01-14,99,"[146, 101, 106, 51, 0, 6, 0, 0, 0]",['Horror'],Italian,2025-01
91,2025-01-16,The Killing of a Sacred Deer,2017.0,https://boxd.it/8uEE7F,3.5,"seb, alone</3",2025-01-15,121,"[197, 206, 203, 197, 204, 201, 78, 69, 62]","['Drama', 'Thriller', 'Mystery']",English,2025-01
92,2025-01-18,Babygirl,2024.0,https://boxd.it/8waKJ9,3.0,"seb, in theaters, james, james's family",2025-01-17,115,"[107, 154, 144, 65, 99, 85, 48, 62, 53]","['Drama', 'Romance']",English,2025-01
93,2025-01-18,Crash,1996.0,https://boxd.it/8weFMv,4.0,"seb, alone</3",2025-01-18,100,"[113, 120, 154, 69, 35, 82, 49, 17, 40]","['Thriller', 'Drama']",English,2025-01
94,2025-01-18,Untapped Perfection,2024.0,https://boxd.it/8wfs0Z,5.0,,2025-01-18,27,"[181, 205, 182, 114, 99, 101, 36, 19, 19]","['Drama', 'Comedy']",English,2025-01
